id,category,region,metric,unit,period_start,period_end,value_start,value_end,pct_change,chart_ready,quote
C001,boom,Britain/US/France/Germany,Combined real growth of the four major powers,percent_growth,1848,1873,,,80,no,"This quarter century, which would prove to be the first era of globalization, was dominated by four powers... which collectively grew by 80 percent over those twenty-five years."
C002,boom,Britain/US/France/Germany,Combined GDP of the four major economies,index_1848_100,1848,1873,100,200,100,yes,"The combined GDP of the four major economies had almost doubled, and the volume of world trade had expanded fivefold."
C003,boom,World,Volume of world trade,index_1848_100,1848,1873,100,500,400,yes,"The combined GDP of the four major economies had almost doubled, and the volume of world trade had expanded fivefold."
C004,boom,World,Global bond market size,index_1850_100,1850,1873,100,500,400,yes,"Between 1850 and 1873, the global bond market quintupled in size."
C005,boom,United States,Economic growth over the decade,percent_growth,1850,1860,,,60,no,"The United States became the fastest-growing of all the major economies, expanding by 60 percent over the decade of the 1850s - more than double that of western Europe."
C006,boom,Britain/US/France/Germany/Austria-Hungary,Industrial production growth rate,percent_per_year,1850s-60s,1872-73,3.5,7,100,yes,"After growing at 3 to 4 percent a year for twenty years, industrial production of the major economic powers... was now rising at double that rate."
C007,boom,World,World trade growth rate,percent_per_year,1850s-60s,1872-73,6,10,66.7,yes,"world trade, after growing at 6 percent a year during the same two decades, was now going up at the unprecedented rate of 10 percent a year."
C008,boom,Britain,National savings rate,percent_of_gdp,1840s,1860s,8.5,13.5,58.8,yes,In Britain... the savings rate went from 8.5 percent of the GDP to 13.5 percent.
C009,boom,Germany,National savings rate,percent_of_gdp,1840s,1860s,9,14,55.6,yes,"in Germany, from 9 to 14 percent."
C010,boom,France,National savings rate,percent_of_gdp,1840s,1860s,17.5,19,8.6,yes,"in France, historically a highly thrifty nation, from below 17.5 to 19 percent."
C011,boom,United States,National savings rate,percent_of_gdp,1840s,1860s,15,20,33.3,yes,"and in the United States, from around 15 percent in the 1840s to above 20 percent."
C012,boom,Britain (London),Long-term real interest rate,percent,pre-1840,1850s-60s,6,3,-50,yes,"long-term interest rates in London... fell by half, from around the typical 6 percent that had prevailed before the 1840s to 3 percent in the 1850s and '60s."
C013,boom,World,Annual investment in railroads and infrastructure,usd_million,1850-1855,1865-1870,1000,4000,300,yes,the amount of investment in projects like railroads and other infrastructure undertakings rose from $1 billion a year in the early 1850s to nearly $4 billion a year by the late 1860s.
C014,boom,World (London/Paris/NY),Total value of investments outstanding,usd_million,1850,1870,20000,50000,150,yes,"The total value of investments in all their myriad forms - company shares, government bonds, bank loans, trade credits, and real-estate mortgages - shot up from under $20 billion to over $50 billion."
C015,boom,World (London/Paris/NY),Bond market value,usd_million,1850,1870,3333,20000,500,yes,"The real money, some $20 billion... was thus channeled into the bond market: During those twenty years, it shot up in value sixfold. (start value implied by the sixfold rise)"
C016,boom,World (London/Paris/NY),Equities as share of listed securities,usd_million,1872,1872,10000,,,no,"Even by the early 1870s, the value of shares in companies on the three largest exchanges... was only $10 billion, compared with a total of $30 billion in financial securities issued on the exchanges."
C017,boom,World (London/Paris/NY),Total listed financial securities,usd_million,1872,1872,30000,,,no,compared with a total of $30 billion in financial securities issued on the exchanges.
C018,boom,World,Railroad share of new debt issued,usd_million,1850,1870,10000,,50,no,"though railroads accounted for the vast bulk of bonds issued in the 1850s and '60s - according to one estimate, some $10 billion out of the total of $20 billion in new debt."
C019,boom,United States (NYSE),Total equities and bonds traded on the exchange,usd_million,1860s,1860s,4000,,,yes,"the total value of equities and bonds traded on the New York Stock Exchange was less than $4 billion, compared with $12 billion on the London Stock Exchange and even $8 billion on the Paris Bourse."
C020,boom,Britain (London Stock Exchange),Total equities and bonds traded on the exchange,usd_million,1860s,1860s,12000,,,yes,compared with $12 billion on the London Stock Exchange.
C021,boom,France (Paris Bourse),Total equities and bonds traded on the exchange,usd_million,1860s,1860s,8000,,,yes,and even $8 billion on the Paris Bourse.
