series_id,series_label,suggested_chart,region,unit,period,value,basis,claim_ids
savings_rate,"National savings rate, before and after the boom",slope,Britain,percent_of_gdp,1840s,8.5,stated,C008
savings_rate,"National savings rate, before and after the boom",slope,Britain,percent_of_gdp,1860s,13.5,stated,C008
savings_rate,"National savings rate, before and after the boom",slope,Germany,percent_of_gdp,1840s,9,stated,C009
savings_rate,"National savings rate, before and after the boom",slope,Germany,percent_of_gdp,1860s,14,stated,C009
savings_rate,"National savings rate, before and after the boom",slope,France,percent_of_gdp,1840s,17.5,stated,C010
savings_rate,"National savings rate, before and after the boom",slope,France,percent_of_gdp,1860s,19,stated,C010
savings_rate,"National savings rate, before and after the boom",slope,United States,percent_of_gdp,1840s,15,stated,C011
savings_rate,"National savings rate, before and after the boom",slope,United States,percent_of_gdp,1860s,20,stated,C011
exchange_size,Size of the three great exchanges on the eve of the crisis,bar,London,usd_million,1860s,12000,stated,C020
exchange_size,Size of the three great exchanges on the eve of the crisis,bar,Paris,usd_million,1860s,8000,stated,C021
exchange_size,Size of the three great exchanges on the eve of the crisis,bar,New York,usd_million,1860s,4000,stated,C019
boom_index,"The first globalization, indexed to its starting point",line,Four major economies (GDP),index_100,1848,100,derived,C002
boom_index,"The first globalization, indexed to its starting point",line,Four major economies (GDP),index_100,1873,200,derived,C002
boom_index,"The first globalization, indexed to its starting point",line,World trade volume,index_100,1848,100,derived,C003
boom_index,"The first globalization, indexed to its starting point",line,World trade volume,index_100,1873,500,derived,C003
boom_index,"The first globalization, indexed to its starting point",line,Global bond market,index_100,1850,100,derived,C004
boom_index,"The first globalization, indexed to its starting point",line,Global bond market,index_100,1873,500,derived,C004
boom_index,"The first globalization, indexed to its starting point",line,Bond market (London/Paris/NY),index_100,1850,100,derived,C015
boom_index,"The first globalization, indexed to its starting point",line,Bond market (London/Paris/NY),index_100,1870,600,derived,C015
growth_acceleration,Trend growth versus the final surge,slope,"Industrial production, major powers",percent_per_year,1850s-60s trend,3.5,stated,C006
growth_acceleration,Trend growth versus the final surge,slope,"Industrial production, major powers",percent_per_year,1872-73,7,stated,C006
growth_acceleration,Trend growth versus the final surge,slope,World trade,percent_per_year,1850s-60s trend,6,stated,C007
growth_acceleration,Trend growth versus the final surge,slope,World trade,percent_per_year,1872-73,10,stated,C007
real_rates,Long-term real interest rates in London,line,Britain,percent,pre-1840,6,stated,C012
real_rates,Long-term real interest rates in London,line,Britain,percent,1850s-60s,3,stated,C012
infra_investment,Global investment in railroads and infrastructure,bar,World,usd_million_per_year,early 1850s,1000,stated,C013
infra_investment,Global investment in railroads and infrastructure,bar,World,usd_million_per_year,late 1860s,4000,stated,C013
bubble_run_up,Anatomy of four bubbles: run-up and collapse,line,Dutch tulips (1636-37),index_peak_100,peak minus 3m,5,derived,C022
bubble_run_up,Anatomy of four bubbles: run-up and collapse,line,Dutch tulips (1636-37),index_peak_100,peak,100,derived,C022
bubble_run_up,Anatomy of four bubbles: run-up and collapse,line,Dutch tulips (1636-37),index_peak_100,peak plus weeks,5,derived,C023
bubble_run_up,Anatomy of four bubbles: run-up and collapse,line,British railway shares (1844-48),index_peak_100,1844,50,derived,C024
bubble_run_up,Anatomy of four bubbles: run-up and collapse,line,British railway shares (1844-48),index_peak_100,1845 peak,100,derived,C024
bubble_run_up,Anatomy of four bubbles: run-up and collapse,line,British railway shares (1844-48),index_peak_100,1848,40,derived,C025
bubble_run_up,Anatomy of four bubbles: run-up and collapse,line,Vienna listed stocks (1870-73),index_peak_100,1870,25,derived,C039
bubble_run_up,Anatomy of four bubbles: run-up and collapse,line,Vienna listed stocks (1870-73),index_peak_100,1873 peak,100,derived,C039
bubble_run_up,Anatomy of four bubbles: run-up and collapse,line,Vienna listed stocks (1870-73),index_peak_100,1873-05-09,55,derived,C045
bubble_run_up,Anatomy of four bubbles: run-up and collapse,line,Berlin large caps (1870-72),index_peak_100,1870,50,derived,C035
bubble_run_up,Anatomy of four bubbles: run-up and collapse,line,Berlin large caps (1870-72),index_peak_100,1872 peak,100,derived,C035
vienna_land,"Viennese land prices, pre-boom versus peak",dumbbell,"Vienna, low end",usd_per_sq_ft,pre-boom,2,stated,C041
vienna_land,"Viennese land prices, pre-boom versus peak",dumbbell,"Vienna, low end",usd_per_sq_ft,1873 peak,10,stated,C041
vienna_land,"Viennese land prices, pre-boom versus peak",dumbbell,"Vienna, high end",usd_per_sq_ft,pre-boom,3,stated,C042
vienna_land,"Viennese land prices, pre-boom versus peak",dumbbell,"Vienna, high end",usd_per_sq_ft,1873 peak,20,stated,C042
